Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"
Denmark	DNK	2011	51293.207
Finland	FIN	2020	47443.902
Finland	FIN	2019	48583.434
Finland	FIN	2018	48048.523
Denmark	DNK	2019	56813.965
Denmark	DNK	2021	57962.652
Finland	FIN	2017	47570.133
Denmark	DNK	2020	55518.598
Denmark	DNK	2018	56178.773
Norway	NOR	2017	64050.758
Switzerland	CHE	2014	67824.086
Finland	FIN	2011	46825.824
Switzerland	CHE	2020	68670.24
Iceland	ISL	2014	50450.742
Switzerland	CHE	2019	70857.086
Iceland	ISL	2021	53586.156
Denmark	DNK	2017	55356.68
Iceland	ISL	2020	52174.574
Norway	NOR	2018	64341.258
Norway	NOR	2016	63104.082
Denmark	DNK	2014	52048.336
Denmark	DNK	2015	52892.645
Norway	NOR	2011	61157.13
Denmark	DNK	2016	54185.008
Norway	NOR	2014	62390.13
Netherlands	NLD	2011	52594.23
Switzerland	CHE	2021	71032.84
Switzerland	CHE	2015	68159.22
Iceland	ISL	2019	56923.17
Iceland	ISL	2016	54665.766
Iceland	ISL	2015	52142.934
Canada	CAN	2011	45822.598
Switzerland	CHE	2011	66587.85
Norway	NOR	2015	62987.516
Iceland	ISL	2017	55638.492
Switzerland	CHE	2016	68813.64
Iceland	ISL	2018	56816.363
Norway	NOR	2019	64385.008
Netherlands	NLD	2018	56060.914
Switzerland	CHE	2017	69103.57
Switzerland	CHE	2018	70558.56
Finland	FIN	2016	46206.79
Netherlands	NLD	2020	54275.004
Netherlands	NLD	2019	56784.04
Netherlands	NLD	2017	55088.633
Canada	CAN	2014	47564.61
Netherlands	NLD	2021	56617.35
Finland	FIN	2015	45072.59
Finland	FIN	2014	44976.777
Canada	CAN	2015	47522.14
Luxembourg	LUX	2021	115683.49
Norway	NOR	2020	63548
Sweden	SWE	2021	53613.42
Sweden	SWE	2011	48947.438
Netherlands	NLD	2014	52186.996
Netherlands	NLD	2016	53847.83
New Zealand	NZL	2011	38137.492
Norway	NOR	2021	65662.17
Sweden	SWE	2014	49258.996
Israel	ISR	2021	42061.242
Sweden	SWE	2020	51331.28
Sweden	SWE	2019	52850.57
Australia	AUS	2011	45405.367
Sweden	SWE	2018	52349.293
Netherlands	NLD	2015	52974.117
New Zealand	NZL	2015	41020.312
Canada	CAN	2017	48317.176
Luxembourg	LUX	2020	111751.31
New Zealand	NZL	2017	42218.54
Canada	CAN	2016	47457.586
Sweden	SWE	2017	51947.953
New Zealand	NZL	2016	41620.348
Australia	AUS	2015	47567.68
New Zealand	NZL	2018	42862.07
New Zealand	NZL	2019	43110.37
Austria	AUT	2019	55806.438
Sweden	SWE	2015	50928.965
New Zealand	NZL	2014	40353.105
Ireland	IRL	2011	53712.285
Australia	AUS	2016	48109.203
Australia	AUS	2014	47240.273
Sweden	SWE	2016	51334.434
Canada	CAN	2018	48962.48
Israel	ISR	2014	37144.48
Australia	AUS	2017	48400.246
United States	USA	2011	54960.906
Austria	AUT	2020	51988.414
Israel	ISR	2015	37321.016
Costa Rica	CRI	2011	17186.45
Austria	AUT	2018	55217.285
Luxembourg	LUX	2019	114542.5
Canada	CAN	2019	49171.51
Australia	AUS	2018	49052.816
Austria	AUT	2011	53179.15
Costa Rica	CRI	2014	18480.652
Australia	AUS	2019	49379.094
Israel	ISR	2016	38251.297
Austria	AUT	2014	52932.9
Israel	ISR	2011	35301.82
Israel	ISR	2017	39121.297
Mexico	MEX	2014	19141.92
Australia	AUS	2020	48747.85
Costa Rica	CRI	2018	20503.277
United Kingdom	GBR	2019	47362.266
Austria	AUT	2021	54121.145
Australia	AUS	2021	49774.34
Israel	ISR	2020	39351.895
Germany	DEU	2020	51840.33
Austria	AUT	2017	54172.99
Israel	ISR	2018	39936.77
Israel	ISR	2019	40810.055
Costa Rica	CRI	2019	20818.062
Austria	AUT	2015	52873.86
United States	USA	2014	57308.32
United States	USA	2015	58427.55
Canada	CAN	2020	46064.254
Ireland	IRL	2019	86681.27
Luxembourg	LUX	2018	114164.47
Costa Rica	CRI	2015	18956.191
Ireland	IRL	2020	91099.75
Costa Rica	CRI	2016	19553.6
Germany	DEU	2019	53874.316
Costa Rica	CRI	2017	20168.22
Costa Rica	CRI	2020	19824.348
United Kingdom	GBR	2020	41984.105
United Kingdom	GBR	2018	46878.137
Luxembourg	LUX	2011	112998.39
Ireland	IRL	2021	102496.22
Puerto Rico	PRI	2015	34311.04
Germany	DEU	2021	53179.656
Canada	CAN	2021	47892.945
Ireland	IRL	2018	83340.39
Austria	AUT	2016	53345.742
Germany	DEU	2015	51159.297
United States	USA	2016	58972.902
Germany	DEU	2018	53431.395
Brazil	BRA	2014	15695.644
United Arab Emirates	ARE	2011	57815.17
Ireland	IRL	2017	77749.2
Ireland	IRL	2016	72106.8
United States	USA	2021	63669.71
Czechia	CZE	2020	38639.98
Germany	DEU	2017	53071.457
Brazil	BRA	2015	15011.577
United States	USA	2020	60167.855
Germany	DEU	2016	51879.67
Luxembourg	LUX	2014	113313.58
United States	USA	2019	62478.254
United Kingdom	GBR	2011	42389.145
Venezuela	VEN	2011	
Czechia	CZE	2021	40740.992
Czechia	CZE	2019	40989.727
Luxembourg	LUX	2017	114985.84
